Molecule;Target;ATC;Action;pCHEMBL
pimozide;alpha2b-adrenoceptor;N05AG02;NA;6.085604
pipamperone;alpha2b-adrenoceptor;N05AD05;NA;7.455932
piribedil;alpha2b-adrenoceptor;N04BC08;NA;6.540000
piroxicam;alpha2b-adrenoceptor;M01AC01. M02AA07. S01BC06;NA;5.000000
pramipexole;alpha2b-adrenoceptor;N04BC05;NA;6.667109
prazosin;alpha2b-adrenoceptor;C02CA01;antagonist;7.153737
propranolol;alpha2b-adrenoceptor;C07AA05;NA;6.000000
prucalopride;alpha2b-adrenoceptor;A06AX05;NA;5.000000
pseudoephedrine;alpha2b-adrenoceptor;R01BA02;NA;5.351709
psylocibine;alpha2b-adrenoceptor;N06BA-d;NA;5.000000
quetiapine;alpha2b-adrenoceptor;N05AH04;antagonist;6.418962
rilmenidine;alpha2b-adrenoceptor;C02AC06;NA;5.760000
risperidone;alpha2b-adrenoceptor;N05AX08;partial agonist;7.439012
rofecoxib;alpha2b-adrenoceptor;M01AH02;NA;5.000000
ropinirole;alpha2b-adrenoceptor;N04BC04;antagonist;6.120000
sertindole;alpha2b-adrenoceptor;N05AE03;NA;6.346787
talipexole;alpha2b-adrenoceptor;N04BX-a;NA;7.090000
thioridazine;alpha2b-adrenoceptor;N05AC02;NA;6.466419
tianeptine;alpha2b-adrenoceptor;N06AX14;NA;5.000000
tiotixene;alpha2b-adrenoceptor;N05AF04;NA;7.300163
tolazoline;alpha2b-adrenoceptor;C04AB02. M02AX02;antagonist;5.500000
tramazoline;alpha2b-adrenoceptor;R01AA09;NA;6.860000
trifluoperazine;alpha2b-adrenoceptor;N05AB06;NA;6.786217
valdecoxib;alpha2b-adrenoceptor;M01AH03;NA;5.000000
xylometazoline;alpha2b-adrenoceptor;R01AA07. R01AB06. S01GA03;agonist;5.980000
yohimbine;alpha2b-adrenoceptor;G04BE04;antagonist;8.286319
ziprasidone;alpha2b-adrenoceptor;N05AE04;antagonist;7.318759
zotepine;alpha2b-adrenoceptor;N05AX11;antagonist;8.236185
acetylsalicylic acid;alpha2c-adrenoceptor;A01AD05. B01AC06. N02BA01;NA;5.000000
amisulpride;alpha2c-adrenoceptor;N05AL05;NA;5.812479
apomorphine;alpha2c-adrenoceptor;G04BE07. N04BC07;antagonist;7.419973
apraclonidine;alpha2c-adrenoceptor;S01EA03;agonist;7.520000
aripiprazole;alpha2c-adrenoceptor;N05AX12;antagonist;7.424457
brexpiprazole;alpha2c-adrenoceptor;N05AX16;antagonist;9.229148
brimonidine;alpha2c-adrenoceptor;D11AX21. S01EA05;agonist;6.581793
bromocriptine;alpha2c-adrenoceptor;N04BC01. G02CB01;antagonist;7.574959
cabergoline;alpha2c-adrenoceptor;N04BC06. G02CB03;antagonist;7.674959
celecoxib;alpha2c-adrenoceptor;L01XX33. M01AH01;NA;5.000000
chlorpromazine;alpha2c-adrenoceptor;N05AA01;antagonist;7.253099
clemastine;alpha2c-adrenoceptor;D04AA14. R06AA04;NA;6.263603
clonidine;alpha2c-adrenoceptor;C02AC01. N02CX02. S01EA04;agonist;6.810303
clozapine;alpha2c-adrenoceptor;N05AH02;antagonist;7.954061
cocaine;alpha2c-adrenoceptor;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.000000
dexmedetomidine;alpha2c-adrenoceptor;N05CM18;agonist;7.926272
diclofenac;alpha2c-adrenoceptor;D11AX18. M01AB05. M02AA15. S01BC03;NA;5.000000
ephedrine;alpha2c-adrenoceptor;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;agonist;5.545253
epinephrine;alpha2c-adrenoceptor;A01AD01. B02BC09. C01CA24. R01AA14. R03AA01. S01EA01;agonist;5.849640
ergotamine;alpha2c-adrenoceptor;N02CA02;NA;5.000000
etoricoxib;alpha2c-adrenoceptor;M01AH05;NA;5.000000
fenfluramine;alpha2c-adrenoceptor;A08AA02;NA;6.679513
fluphenazine;alpha2c-adrenoceptor;N05AB02;NA;7.539105
fluspirilene;alpha2c-adrenoceptor;N05AG01;NA;7.207608
guanabenz;alpha2c-adrenoceptor;C02CC-a;agonist;6.151910
guanfacine;alpha2c-adrenoceptor;C02AC02;partial agonist;5.729796
haloperidol;alpha2c-adrenoceptor;N05AD01;NA;6.423552
hyperici herba;alpha2c-adrenoceptor;N06AX25;NA;5.000000
ibuprofen;alpha2c-adrenoceptor;C01EB16. G02CC01. M01AE01. M02AA13. R02AX02;NA;5.000000
iloperidone;alpha2c-adrenoceptor;N05AX14;antagonist;7.790351
ketamine;alpha2c-adrenoceptor;N01AX03;NA;5.000000
ketorolac;alpha2c-adrenoceptor;M01AB15. S01BC05;NA;5.000000
loxapine;alpha2c-adrenoceptor;N05AH01;NA;7.097181
lurasidone;alpha2c-adrenoceptor;N05AE05;antagonist;7.968288
meloxicam;alpha2c-adrenoceptor;M01AC06;NA;5.000000
memantine;alpha2c-adrenoceptor;N06DX01;NA;5.000000
mephedrone;alpha2c-adrenoceptor;N06BA-h;NA;5.349110
metamfetamine;alpha2c-adrenoceptor;N06BA-l;agonist;6.089536
methionine;alpha2c-adrenoceptor;V03AB26;NA;5.000000
methylphenidate;alpha2c-adrenoceptor;N06BA04;NA;6.067526
methysergide;alpha2c-adrenoceptor;N02CA04;NA;7.054039
mianserin;alpha2c-adrenoceptor;N06AX03;antagonist;8.420216
mirtazapine;alpha2c-adrenoceptor;N06AX11;antagonist;7.468046
mitragynine;alpha2c-adrenoceptor;N02AX-a;NA;5.402516
molindone;alpha2c-adrenoceptor;N05AE02;NA;6.762959
naphazoline;alpha2c-adrenoceptor;R01AA08. R01AB02. S01GA01;NA;6.390000
naproxen;alpha2c-adrenoceptor;M01AE02. M02AA12. G02CC02;NA;5.000000
nimesulide;alpha2c-adrenoceptor;M01AX17. M02AA26;NA;5.000000
norepinephrine;alpha2c-adrenoceptor;C01CA03;agonist;6.135889
olanzapine;alpha2c-adrenoceptor;N05AH03;NA;7.201469
ondansetron;alpha2c-adrenoceptor;A04AA01;NA;5.000000
oxymetazoline;alpha2c-adrenoceptor;R01AA05. R01AB07. S01GA04;agonist;6.820353
parecoxib;alpha2c-adrenoceptor;M01AH04;NA;5.000000
pergolide;alpha2c-adrenoceptor;N04BC02;agonist;7.184984
perphenazine;alpha2c-adrenoceptor;N05AB03;NA;7.069560
phentolamine;alpha2c-adrenoceptor;C04AB01. V03AB36;antagonist;7.653178
pimozide;alpha2c-adrenoceptor;N05AG02;NA;6.424235
pipamperone;alpha2c-adrenoceptor;N05AD05;NA;6.537602
piribedil;alpha2c-adrenoceptor;N04BC08;antagonist;7.179972
piroxicam;alpha2c-adrenoceptor;M01AC01. M02AA07. S01BC06;NA;5.000000
pramipexole;alpha2c-adrenoceptor;N04BC05;NA;6.034206
prazosin;alpha2c-adrenoceptor;C02CA01;antagonist;7.476521
propranolol;alpha2c-adrenoceptor;C07AA05;NA;6.000000
prucalopride;alpha2c-adrenoceptor;A06AX05;NA;5.000000
pseudoephedrine;alpha2c-adrenoceptor;R01BA02;NA;5.437665
psylocibine;alpha2c-adrenoceptor;N06BA-d;NA;5.000000
quetiapine;alpha2c-adrenoceptor;N05AH04;antagonist;7.159705
rilmenidine;alpha2c-adrenoceptor;C02AC06;NA;5.330000
risperidone;alpha2c-adrenoceptor;N05AX08;agonist;8.355760
rofecoxib;alpha2c-adrenoceptor;M01AH02;NA;5.000000
ropinirole;alpha2c-adrenoceptor;N04BC04;antagonist;5.920000
sertindole;alpha2c-adrenoceptor;N05AE03;NA;6.346787
talipexole;alpha2c-adrenoceptor;N04BX-a;NA;7.370000
thioridazine;alpha2c-adrenoceptor;N05AC02;NA;7.125518
tianeptine;alpha2c-adrenoceptor;N06AX14;NA;5.000000
tiotixene;alpha2c-adrenoceptor;N05AF04;NA;7.284415
tolazoline;alpha2c-adrenoceptor;C04AB02. M02AX02;antagonist;5.430000
tramazoline;alpha2c-adrenoceptor;R01AA09;NA;6.560000
trazodone;alpha2c-adrenoceptor;N06AX05;NA;6.809668
trifluoperazine;alpha2c-adrenoceptor;N05AB06;NA;6.407268
valdecoxib;alpha2c-adrenoceptor;M01AH03;NA;5.000000
xylometazoline;alpha2c-adrenoceptor;R01AA07. R01AB06. S01GA03;agonist;6.890000
yohimbine;alpha2c-adrenoceptor;G04BE04;antagonist;9.010420
ziprasidone;alpha2c-adrenoceptor;N05AE04;antagonist;7.171095
zotepine;alpha2c-adrenoceptor;N05AX11;NA;7.013135
apalutamide;androgen receptor;L02BB05;antagonist;7.377651
bicalutamide;androgen receptor;L02BB03;antagonist;6.437837
cyproterone;androgen receptor;G03HA01;antagonist;7.850000
enzalutamide;androgen receptor;L02BB04;antagonist;6.709848
fluoxymesterone;androgen receptor;G03BA01;agonist;8.240000
flutamide;androgen receptor;L02BB01;antagonist;5.983850
methyltestosterone;androgen receptor;G03BA02. G03EK01;agonist;9.660000
mifepristone;androgen receptor;G03XB01;antagonist;9.190000
nilutamide;androgen receptor;L02BB02;antagonist;7.557407
testosterone;androgen receptor;G03BA03;agonist;8.310739
acebutolol;beta1-adrenoceptor;C07AB04;antagonist;6.305550
amisulpride;beta1-adrenoceptor;N05AL05;NA;5.000000
apomorphine;beta1-adrenoceptor;G04BE07. N04BC07;NA;5.000000
arformoterol;beta1-adrenoceptor;R03AC-a;agonist;6.500000
aripiprazole;beta1-adrenoceptor;N05AX12;NA;6.850781
atenolol;beta1-adrenoceptor;C07AB03;antagonist;6.425957
betaxolol;beta1-adrenoceptor;C07AB05. S01ED02;antagonist;8.506460
bisoprolol;beta1-adrenoceptor;C07AB07;antagonist;7.649752
bromocriptine;beta1-adrenoceptor;N04BC01. G02CB01;NA;6.230000
cabergoline;beta1-adrenoceptor;N04BC06. G02CB03;NA;5.000000
carvedilol;beta1-adrenoceptor;C07AG02;antagonist;9.127471
chlorpromazine;beta1-adrenoceptor;N05AA01;NA;5.000000
clozapine;beta1-adrenoceptor;N05AH02;NA;5.148315
cocaine;beta1-adrenoceptor;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.000000
dobutamine;beta1-adrenoceptor;C01CA07;agonist;5.717049
ephedrine;beta1-adrenoceptor;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;agonist;5.000000
epinephrine;beta1-adrenoceptor;A01AD01. B02BC09. C01CA24. R01AA14. R03AA01. S01EA01;agonist;5.593644
ergotamine;beta1-adrenoceptor;N02CA02;NA;5.000000
esmolol;beta1-adrenoceptor;C07AB09;antagonist;6.849261
fenfluramine;beta1-adrenoceptor;A08AA02;NA;5.647175
fenoterol;beta1-adrenoceptor;G02CA03. R03AC04. R03CC04;agonist;5.000000
fluphenazine;beta1-adrenoceptor;N05AB02;NA;5.000000
fluspirilene;beta1-adrenoceptor;N05AG01;NA;6.229148
formoterol;beta1-adrenoceptor;R03AC13;agonist;6.882284
haloperidol;beta1-adrenoceptor;N05AD01;NA;5.000000
iloperidone;beta1-adrenoceptor;N05AX14;NA;5.000000
indacaterol;beta1-adrenoceptor;R03AC18;agonist;7.415274
ketamine;beta1-adrenoceptor;N01AX03;NA;5.000000
labetalol;beta1-adrenoceptor;C07AG01;antagonist;8.200000
loxapine;beta1-adrenoceptor;N05AH01;NA;5.000000
memantine;beta1-adrenoceptor;N06DX01;NA;5.000000
methysergide;beta1-adrenoceptor;N02CA04;NA;5.000000
metoprolol;beta1-adrenoceptor;C07AB02;antagonist;7.240469
mirabegron;beta1-adrenoceptor;G04BD12;agonist;5.000000
mirtazapine;beta1-adrenoceptor;N06AX11;NA;5.000000
mitragynine;beta1-adrenoceptor;N02AX-a;NA;5.000000
nadolol;beta1-adrenoceptor;C07AA12;antagonist;6.900000
norepinephrine;beta1-adrenoceptor;C01CA03;agonist;5.634683
olanzapine;beta1-adrenoceptor;N05AH03;antagonist;5.148315
ondansetron;beta1-adrenoceptor;A04AA01;NA;5.000000
pergolide;beta1-adrenoceptor;N04BC02;NA;5.000000
pindolol;beta1-adrenoceptor;C07AA03;partial agonist;8.971754
pipamperone;beta1-adrenoceptor;N05AD05;NA;5.301030
piribedil;beta1-adrenoceptor;N04BC08;NA;5.000000
pramipexole;beta1-adrenoceptor;N04BC05;NA;5.000000
propafenone;beta1-adrenoceptor;C01BC03;antagonist;6.612315
propranolol;beta1-adrenoceptor;C07AA05;antagonist;8.740451
prucalopride;beta1-adrenoceptor;A06AX05;NA;5.000000
pseudoephedrine;beta1-adrenoceptor;R01BA02;partial agonist;5.000000
quetiapine;beta1-adrenoceptor;N05AH04;NA;5.148315
risperidone;beta1-adrenoceptor;N05AX08;NA;5.148315
ropinirole;beta1-adrenoceptor;N04BC04;NA;5.000000
salbutamol;beta1-adrenoceptor;R03AC02. R03CC02;agonist;6.812295
salmeterol;beta1-adrenoceptor;R03AC12;agonist;6.899791
sertindole;beta1-adrenoceptor;N05AE03;NA;5.301030
sotalol;beta1-adrenoceptor;C07AA07;antagonist;5.507063
talipexole;beta1-adrenoceptor;N04BX-a;NA;5.000000
terbutaline;beta1-adrenoceptor;R03AC03. R03CC03;antagonist;5.000000
thioridazine;beta1-adrenoceptor;N05AC02;NA;5.000000
tianeptine;beta1-adrenoceptor;N06AX14;NA;5.000000
timolol;beta1-adrenoceptor;C07AA06. S01ED01;antagonist;8.704240
tiotixene;beta1-adrenoceptor;N05AF04;NA;5.000000
trazodone;beta1-adrenoceptor;N06AX05;NA;5.000000
ziprasidone;beta1-adrenoceptor;N05AE04;NA;5.286808
zotepine;beta1-adrenoceptor;N05AX11;NA;5.193081
amisulpride;beta2-adrenoceptor;N05AL05;NA;5.000000
apomorphine;beta2-adrenoceptor;G04BE07. N04BC07;NA;5.000000
arformoterol;beta2-adrenoceptor;R03AC-a;agonist;7.923528
aripiprazole;beta2-adrenoceptor;N05AX12;NA;6.787812
atenolol;beta2-adrenoceptor;C07AB03;antagonist;5.431466
betaxolol;beta2-adrenoceptor;C07AB05. S01ED02;antagonist;7.343569
bisoprolol;beta2-adrenoceptor;C07AB07;antagonist;5.939302
bromocriptine;beta2-adrenoceptor;N04BC01. G02CB01;NA;6.130000
cabergoline;beta2-adrenoceptor;N04BC06. G02CB03;NA;5.000000
carvedilol;beta2-adrenoceptor;C07AG02;antagonist;9.296319
chlorpromazine;beta2-adrenoceptor;N05AA01;NA;5.000000
clozapine;beta2-adrenoceptor;N05AH02;NA;5.377042
cocaine;beta2-adrenoceptor;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.000000
dobutamine;beta2-adrenoceptor;C01CA07;agonist;5.899458
ephedrine;beta2-adrenoceptor;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;agonist;5.291503
epinephrine;beta2-adrenoceptor;A01AD01. B02BC09. C01CA24. R01AA14. R03AA01. S01EA01;agonist;5.926081
ergotamine;beta2-adrenoceptor;N02CA02;NA;5.000000
fenfluramine;beta2-adrenoceptor;A08AA02;NA;5.070849
fenoterol;beta2-adrenoceptor;G02CA03. R03AC04. R03CC04;agonist;6.517632
fluphenazine;beta2-adrenoceptor;N05AB02;NA;5.000000
fluspirilene;beta2-adrenoceptor;N05AG01;NA;6.292430
formoterol;beta2-adrenoceptor;R03AC13;agonist;7.646241
haloperidol;beta2-adrenoceptor;N05AD01;NA;5.148315
iloperidone;beta2-adrenoceptor;N05AX14;NA;5.000000
indacaterol;beta2-adrenoceptor;R03AC18;agonist;7.846610
ketamine;beta2-adrenoceptor;N01AX03;NA;5.000000
labetalol;beta2-adrenoceptor;C07AG01;antagonist;7.960000
loxapine;beta2-adrenoceptor;N05AH01;NA;5.000000
memantine;beta2-adrenoceptor;N06DX01;NA;5.000000
methysergide;beta2-adrenoceptor;N02CA04;NA;5.000000
metoprolol;beta2-adrenoceptor;C07AB02;antagonist;5.965149
mirabegron;beta2-adrenoceptor;G04BD12;agonist;5.000000
mirtazapine;beta2-adrenoceptor;N06AX11;NA;5.000000
mitragynine;beta2-adrenoceptor;N02AX-a;NA;5.000000
nadolol;beta2-adrenoceptor;C07AA12;antagonist;7.758866
norepinephrine;beta2-adrenoceptor;C01CA03;agonist;5.080408
olanzapine;beta2-adrenoceptor;N05AH03;NA;5.148315
olodaterol;beta2-adrenoceptor;R03AC19;agonist;10.000000
ondansetron;beta2-adrenoceptor;A04AA01;NA;5.000000
orciprenaline;beta2-adrenoceptor;R03AB03;agonist;5.628439
pergolide;beta2-adrenoceptor;N04BC02;NA;5.000000
pindolol;beta2-adrenoceptor;C07AA03;partial agonist;9.092275
pipamperone;beta2-adrenoceptor;N05AD05;NA;5.301030
piribedil;beta2-adrenoceptor;N04BC08;NA;5.000000
pramipexole;beta2-adrenoceptor;N04BC05;NA;5.000000
procaterol;beta2-adrenoceptor;R03AC16. R03CC08;agonist;8.430000
propafenone;beta2-adrenoceptor;C01BC03;antagonist;7.386280
propranolol;beta2-adrenoceptor;C07AA05;antagonist;9.302357
prucalopride;beta2-adrenoceptor;A06AX05;NA;5.000000
pseudoephedrine;beta2-adrenoceptor;R01BA02;partial agonist;5.000000
quetiapine;beta2-adrenoceptor;N05AH04;NA;5.148315
risperidone;beta2-adrenoceptor;N05AX08;NA;5.148315
ropinirole;beta2-adrenoceptor;N04BC04;NA;5.000000
salbutamol;beta2-adrenoceptor;R03AC02. R03CC02;agonist;6.105003
salmeterol;beta2-adrenoceptor;R03AC12;agonist;8.504137
sertindole;beta2-adrenoceptor;N05AE03;NA;5.301030
sotalol;beta2-adrenoceptor;C07AA07;antagonist;6.472834
talipexole;beta2-adrenoceptor;N04BX-a;NA;5.000000
terbutaline;beta2-adrenoceptor;R03AC03. R03CC03;agonist;5.443567
thioridazine;beta2-adrenoceptor;N05AC02;NA;5.000000
tianeptine;beta2-adrenoceptor;N06AX14;NA;5.000000
timolol;beta2-adrenoceptor;C07AA06. S01ED01;antagonist;9.646371
tiotixene;beta2-adrenoceptor;N05AF04;NA;5.000000
trazodone;beta2-adrenoceptor;N06AX05;NA;5.000000
vilanterol;beta2-adrenoceptor;R03A-1;agonist;9.400000
ziprasidone;beta2-adrenoceptor;N05AE04;NA;5.148315
zotepine;beta2-adrenoceptor;N05AX11;NA;5.309554
amisulpride;beta3-adrenoceptor;N05AL05;NA;5.000000
atenolol;beta3-adrenoceptor;C07AB03;NA;5.000000
bisoprolol;beta3-adrenoceptor;C07AB07;NA;5.042393
carvedilol;beta3-adrenoceptor;C07AG02;NA;6.607303
epinephrine;beta3-adrenoceptor;A01AD01. B02BC09. C01CA24. R01AA14. R03AA01. S01EA01;agonist;4.555362
fenoterol;beta3-adrenoceptor;G02CA03. R03AC04. R03CC04;agonist;5.000000
formoterol;beta3-adrenoceptor;R03AC13;agonist;6.485562
indacaterol;beta3-adrenoceptor;R03AC18;NA;8.261219
ketamine;beta3-adrenoceptor;N01AX03;NA;5.000000
metoprolol;beta3-adrenoceptor;C07AB02;NA;5.000000
mirabegron;beta3-adrenoceptor;G04BD12;agonist;7.650000
mirtazapine;beta3-adrenoceptor;N06AX11;NA;5.000000
mitragynine;beta3-adrenoceptor;N02AX-a;NA;5.000000
nadolol;beta3-adrenoceptor;C07AA12;antagonist;6.300000
norepinephrine;beta3-adrenoceptor;C01CA03;agonist;5.403889
ondansetron;beta3-adrenoceptor;A04AA01;NA;5.000000
pindolol;beta3-adrenoceptor;C07AA03;agonist;7.355561
propranolol;beta3-adrenoceptor;C07AA05;antagonist;6.734983
prucalopride;beta3-adrenoceptor;A06AX05;NA;5.000000
salbutamol;beta3-adrenoceptor;R03AC02. R03CC02;agonist;6.455756
salmeterol;beta3-adrenoceptor;R03AC12;agonist;6.515696
terbutaline;beta3-adrenoceptor;R03AC03. R03CC03;agonist;5.000000
cannabidiol;cannabinoid cb1 receptor;N03AX24;antagonist;5.488461
cannabinoids;cannabinoid cb1 receptor;N02BG10;partial agonist;7.063318
capsaicin;cannabinoid cb1 receptor;M02AB01. N01BX04;NA;5.000000
desvenlafaxine;cannabinoid cb1 receptor;N06AX23;NA;5.000000
dronabinol;cannabinoid cb1 receptor;A04AD10;agonist;7.742113
iloperidone;cannabinoid cb1 receptor;N05AX14;NA;5.000000
jwh-018;cannabinoid cb1 receptor;N02-2;agonist;8.000000
nabilone;cannabinoid cb1 receptor;A04AD11;partial agonist;8.400000
psylocibine;cannabinoid cb1 receptor;N06BA-d;NA;5.000000
rimonabant;cannabinoid cb1 receptor;A08AX01;antagonist;8.282632
tacrine;cannabinoid cb1 receptor;N06DA01;NA;6.000000
trazodone;cannabinoid cb1 receptor;N06AX05;NA;5.000000
acetylsalicylic acid;cannabinoid cb2 receptor;A01AD05. B01AC06. N02BA01;NA;5.000000
cannabinoids;cannabinoid cb2 receptor;N02BG10;NA;7.761469
capsaicin;cannabinoid cb2 receptor;M02AB01. N01BX04;NA;5.000000
celecoxib;cannabinoid cb2 receptor;L01XX33. M01AH01;NA;5.000000
desvenlafaxine;cannabinoid cb2 receptor;N06AX23;NA;5.000000
diclofenac;cannabinoid cb2 receptor;D11AX18. M01AB05. M02AA15. S01BC03;NA;5.000000
etoricoxib;cannabinoid cb2 receptor;M01AH05;NA;5.000000
ibuprofen;cannabinoid cb2 receptor;C01EB16. G02CC01. M01AE01. M02AA13. R02AX02;NA;5.000000
jwh-018;cannabinoid cb2 receptor;N02-2;agonist;8.500000
ketorolac;cannabinoid cb2 receptor;M01AB15. S01BC05;NA;5.000000
meloxicam;cannabinoid cb2 receptor;M01AC06;NA;5.000000
memantine;cannabinoid cb2 receptor;N06DX01;NA;5.000000
mitragynine;cannabinoid cb2 receptor;N02AX-a;NA;5.000000
nabilone;cannabinoid cb2 receptor;A04AD11;agonist;8.200000
naproxen;cannabinoid cb2 receptor;M01AE02. M02AA12. G02CC02;NA;5.000000
nimesulide;cannabinoid cb2 receptor;M01AX17. M02AA26;NA;5.000000
ondansetron;cannabinoid cb2 receptor;A04AA01;NA;5.000000
parecoxib;cannabinoid cb2 receptor;M01AH04;NA;5.000000
piroxicam;cannabinoid cb2 receptor;M01AC01. M02AA07. S01BC06;NA;5.000000
psylocibine;cannabinoid cb2 receptor;N06BA-d;NA;5.000000
rimonabant;cannabinoid cb2 receptor;A08AX01;NA;6.136464
risperidone;cannabinoid cb2 receptor;N05AX08;NA;5.000000
rofecoxib;cannabinoid cb2 receptor;M01AH02;NA;5.000000
tacrine;cannabinoid cb2 receptor;N06DA01;NA;6.000000
tianeptine;cannabinoid cb2 receptor;N06AX14;NA;5.000000
trazodone;cannabinoid cb2 receptor;N06AX05;NA;5.000000
valdecoxib;cannabinoid cb2 receptor;M01AH03;NA;5.000000
alvimopan;delta opiate receptor;A06AH02;antagonist;7.920000
amisulpride;delta opiate receptor;N05AL05;NA;5.000000
aripiprazole;delta opiate receptor;N05AX12;NA;5.000000
buprenorphine;delta opiate receptor;N02AE01. N07BC01;antagonist;8.441655
butorphanol;delta opiate receptor;N02AF01;agonist;7.920819
codeine;delta opiate receptor;R05DA04;agonist;5.000000
fentanyl;delta opiate receptor;N01AH01. N02AB03;agonist;6.594430
hydromorphone;delta opiate receptor;N02AA03;agonist;7.420108
iloperidone;delta opiate receptor;N05AX14;NA;5.000000
ketamine;delta opiate receptor;N01AX03;NA;5.000000
levorphanol;delta opiate receptor;N02AX-b;agonist;8.376751
methadone;delta opiate receptor;N07BC02;agonist;6.434283
methylnaltrexone bromide;delta opiate receptor;A06AH01;antagonist;6.050000
mitragynine;delta opiate receptor;N02AX-a;NA;5.000000
morphine;delta opiate receptor;N02AA01;agonist;6.502432
nalbuphine;delta opiate receptor;N02AF02;antagonist;6.260118
naldemedine;delta opiate receptor;A06AH05;antagonist;9.040000
nalmefene;delta opiate receptor;N07BB05;antagonist;8.026726
naloxone;delta opiate receptor;V03AB15. A06AH04;antagonist;7.114518
naltrexone;delta opiate receptor;N07BB04;antagonist;7.855103
pentazocine;delta opiate receptor;N02AD01;agonist;7.207165
pethidine;delta opiate receptor;N02AB02;agonist;5.000000
phenazocine;delta opiate receptor;N02AD02;NA;8.301030
pramipexole;delta opiate receptor;N04BC05;NA;5.000000
prucalopride;delta opiate receptor;A06AX05;NA;5.000000
psylocibine;delta opiate receptor;N06BA-d;NA;5.000000
sufentanil;delta opiate receptor;N01AH03;agonist;7.301030
tianeptine;delta opiate receptor;N06AX14;NA;5.000000
tramadol;delta opiate receptor;N02AX02;agonist;8.028436
trazodone;delta opiate receptor;N06AX05;NA;5.000000
acetylsalicylic acid;dopamine d1 receptor;A01AD05. B01AC06. N02BA01;NA;5.000000
amisulpride;dopamine d1 receptor;N05AL05;NA;5.000000
amitriptyline;dopamine d1 receptor;N06AA09;NA;7.050610
amphetamine;dopamine d1 receptor;N06BA01;NA;5.000000
apomorphine;dopamine d1 receptor;G04BE07. N04BC07;agonist;6.048381
aripiprazole;dopamine d1 receptor;N05AX12;NA;6.088795
bromocriptine;dopamine d1 receptor;N04BC01. G02CB01;partial agonist;6.099774
bromperidol;dopamine d1 receptor;N05AD06;NA;6.460000
cabergoline;dopamine d1 receptor;N04BC06. G02CB03;agonist;6.684983
carbamazepine;dopamine d1 receptor;N03AF01;NA;5.000000
celecoxib;dopamine d1 receptor;L01XX33. M01AH01;NA;5.000000
chlorpromazine;dopamine d1 receptor;N05AA01;antagonist;7.089329
chlorprothixene;dopamine d1 receptor;N05AF03;NA;7.831873
clomipramine;dopamine d1 receptor;N06AA04;NA;6.659556
clozapine;dopamine d1 receptor;N05AH02;antagonist;6.792797
cocaine;dopamine d1 receptor;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.000000
cyamemazine;dopamine d1 receptor;N05AA06;NA;8.420216
cyproheptadine;dopamine d1 receptor;R06AX02;NA;6.931814
desipramine;dopamine d1 receptor;N06AA01;NA;5.262608
desvenlafaxine;dopamine d1 receptor;N06AX23;NA;5.000000
diclofenac;dopamine d1 receptor;D11AX18. M01AB05. M02AA15. S01BC03;NA;5.000000
dopamine;dopamine d1 receptor;C01CA04;agonist;5.389629
ephedrine;dopamine d1 receptor;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
ergotamine;dopamine d1 receptor;N02CA02;agonist;5.000000
escitalopram;dopamine d1 receptor;N06AB10;NA;5.000000
etoricoxib;dopamine d1 receptor;M01AH05;NA;5.000000
fenfluramine;dopamine d1 receptor;A08AA02;NA;5.000000
fenoldopam;dopamine d1 receptor;C01CA19;agonist;7.318630
flupentixol;dopamine d1 receptor;N05AF01;antagonist;8.054417
